"","Electric Range"
1,270
5,266
6,249
10,322
15,238
16,0
19,249
20,215
28,291
32,266
33,291
42,215
44,215
46,215
49,220
50,291
53,220
54,215
56,0
59,200
64,0
65,293
68,0
75,220
81,291
83,0
86,220
88,0
90,220
91,220
92,0
93,215
96,220
103,220
104,0
108,215
111,215
112,291
114,220
118,322
122,220
123,220
125,200
130,0
132,208
133,200
136,220
137,0
139,208
144,322
149,220
152,210
153,220
160,270
163,0
171,266
179,289
182,215
183,200
188,293
190,291
191,291
194,322
196,291
197,215
199,238
202,0
203,0
204,0
205,0
206,0
209,0
210,210
212,249
214,0
216,0
220,0
221,0
222,210
226,215
229,0
231,0
238,0
239,0
242,0
243,0
244,0
245,0
248,291
249,0
252,265
253,0
256,0
257,215
260,0
265,291
266,0
267,208
270,0
271,0
272,0
273,0
274,200
277,0
278,220
281,0
282,210
288,0
290,0
293,0
294,0
297,0
298,0
299,0
302,0
303,0
306,0
307,0
308,0
310,0
311,210
313,0
318,0
319,220
321,0
323,0
324,0
325,322
327,0
328,0
331,0
333,0
334,215
335,0
337,0
339,0
343,266
344,0
346,0
347,0
350,220
352,0
353,0
355,0
356,0
358,210
360,0
363,0
369,215
372,220
373,0
375,0
380,0
382,0
383,215
390,0
391,0
392,0
393,215
395,238
396,293
397,215
400,0
402,0
404,0
412,0
413,0
414,0
415,0
416,291
417,0
418,215
422,0
425,0
426,0
427,322
428,0
429,0
431,0
434,293
437,0
442,0
448,308
449,0
451,293
452,0
458,210
459,0
461,289
462,0
463,215
464,0
465,0
467,0
469,0
471,0
472,0
476,0
477,220
478,0
480,0
481,0
484,215
485,0
486,0
487,0
488,0
492,0
493,0
494,0
495,215
496,0
497,0
498,0
502,220
503,0
504,0
506,215
507,0
510,0
522,0
523,0
526,0
528,238
532,215
534,0
535,0
536,0
537,0
538,215
540,0
541,249
543,0
544,0
547,0
551,330
556,0
559,0
561,220
562,0
563,0
564,0
566,0
568,0
573,289
574,322
575,0
576,0
577,0
580,0
582,0
584,270
585,0
586,208
587,0
588,0
589,0
591,0
595,0
597,289
599,293
600,215
601,322
602,215
603,266
607,215
609,238
613,0
614,0
616,0
619,0
620,0
622,0
624,215
625,0
626,0
632,215
634,0
635,208
636,0
637,0
638,215
639,0
640,0
641,0
643,0
646,0
654,0
661,215
662,0
666,0
667,0
668,0
670,0
672,0
673,0
676,0
678,0
679,0
680,0
682,0
683,0
684,0
686,220
688,0
690,0
691,0
696,0
697,0
700,266
